image_path,season,subcategory
data/raw/DeepArmocromia/train/autumn/deep/8733.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/27253.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/cindy crawford 8.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/1692.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/27673.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/emily ratajkowski 10.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/14207.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/8733.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/elisabetta canalis 5.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/9696.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/6050.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/Jennifer Lopez.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/16336.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/kaia-gerber 5.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/kaia gerber 7.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/9980.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/Jennifer garner  5.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/Belen Rodriguez AUTUNNO DEEP.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/22408.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/13685.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/7098.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/jessica alba 8.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/6239.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/14951.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/12992.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/zendaya 8.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/13339.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/12962.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/298.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/Ashley Graham 6.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/Gabrielle Caunesil.png,autumn,deep_autumn
data/raw/DeepArmocromia/train/autumn/deep/16551.png,autumn,deep_autumn
